skills,education,job_recommendation,projects,math_knowledge,industry_demand
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MSc,Machine Learning Engineer,House Price Prediction; Recommendation System,"Probability, Statistics",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",BTech,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Statistics, Linear Algebra",High
"Python, PyTorch, Transformers, SpaCy, NLTK",MTech,NLP Engineer,Chatbot System; Text Summarization Tool,"Linear Algebra, Calculus",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",MTech,AI Research Engineer,Research Paper Implementation; Model Experimentation,"Linear Algebra, Probability",High
"Python, TensorFlow, NumPy, Pandas, Matplotlib",BTech,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Linear Algebra, Probability",High
"Python, Transformers, PyTorch, NumPy, Pandas",MTech,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Probability, Calculus",Medium
"Python, TensorFlow, Keras, NumPy, Matplotlib",BSc,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Probability, Calculus",High
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",BSc,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Probability, Calculus",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",MTech,Reinforcement Learning Engineer,Game Playing Agent; Self Driving Simulation,"Statistics, Linear Algebra",Medium
"Python, OpenCV, TensorFlow, Keras, NumPy",BTech,Computer Vision Engineer,Face Detection System; Object Detection System,"Statistics, Linear Algebra",Medium
"Python, TensorFlow, Keras, Pandas, NumPy",BTech,MLOps Engineer,Model Deployment Pipeline; CI/CD ML System,"Linear Algebra, Calculus",Medium
"Python, PyTorch, Transformers, SpaCy, NLTK",BTech,NLP Engineer,Chatbot System; Text Summarization Tool,"Statistics, Linear Algebra",High
"Python, PyTorch, Transformers, SpaCy, NLTK",MSc,NLP Engineer,Chatbot System; Text Summarization Tool,"Linear Algebra, Probability",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BSc,Machine Learning Engineer,House Price Prediction; Recommendation System,"Statistics, Linear Algebra",High
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",BSc,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Linear Algebra, Calculus",High
"Python, TensorFlow, Keras, Pandas, NumPy",MSc,MLOps Engineer,Model Deployment Pipeline; CI/CD ML System,"Linear Algebra, Probability",High
"Python, PyTorch, Transformers, NumPy, Pandas",MTech,Generative AI Engineer,AI Text Generator; Text to Image System,"Linear Algebra, Calculus",High
"Python, TensorFlow, Keras, NumPy, Pandas",MTech,AI Engineer,AI Chatbot; AI Assistant System,"Probability, Calculus",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",MTech,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Linear Algebra, Probability",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",BSc,Reinforcement Learning Engineer,Game Playing Agent; Self Driving Simulation,"Linear Algebra, Probability",High
"Python, TensorFlow, Keras, Pandas, NumPy",BTech,MLOps Engineer,Model Deployment Pipeline; CI/CD ML System,"Linear Algebra, Calculus",High
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",MSc,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Linear Algebra, Probability",Medium
"Python, OpenCV, TensorFlow, Keras, NumPy",MTech,Computer Vision Engineer,Face Detection System; Object Detection System,"Probability, Calculus",Medium
"Python, OpenCV, TensorFlow, Keras, NumPy",BTech,Computer Vision Engineer,Face Detection System; Object Detection System,"Probability, Calculus",High
"Python, OpenCV, NumPy, TensorFlow, Pandas",BSc,Autonomous Systems Engineer,Autonomous Driving System; Path Planning System,"Statistics, Linear Algebra",High
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",BSc,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Probability, Statistics",High
"Python, TensorFlow, NumPy, Pandas, Matplotlib",BSc,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Linear Algebra, Probability",High
"Python, TensorFlow, Keras, NumPy, Pandas",MTech,AI Engineer,AI Chatbot; AI Assistant System,"Probability, Statistics",Medium
"Python, OpenCV, NumPy, TensorFlow, Pandas",BTech,Autonomous Systems Engineer,Autonomous Driving System; Path Planning System,"Probability, Calculus",High
"Python, Transformers, PyTorch, NumPy, Pandas",BTech,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Statistics, Linear Algebra",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BSc,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Linear Algebra, Probability",High
"Python, TensorFlow, Keras, Pandas, NumPy",BTech,MLOps Engineer,Model Deployment Pipeline; CI/CD ML System,"Probability, Calculus",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",MTech,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Probability, Calculus",High
"Python, Transformers, PyTorch, NumPy, Pandas",BTech,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Probability, Calculus",Medium
"Python, PyTorch, Transformers, SpaCy, NLTK",MSc,NLP Engineer,Chatbot System; Text Summarization Tool,"Linear Algebra, Probability",Medium
"Python, TensorFlow, Keras, NumPy, Pandas",BSc,AI Engineer,AI Chatbot; AI Assistant System,"Statistics, Linear Algebra",Medium
"Python, PyTorch, Transformers, NumPy, Pandas",MTech,Generative AI Engineer,AI Text Generator; Text to Image System,"Probability, Statistics",High
"Python, PyTorch, Transformers, NumPy, Pandas",MTech,Generative AI Engineer,AI Text Generator; Text to Image System,"Probability, Calculus",Medium
"Python, TensorFlow, NumPy, Pandas, Matplotlib",BSc,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Statistics, Linear Algebra",High
"Python, OpenCV, TensorFlow, Keras, NumPy",MTech,Computer Vision Engineer,Face Detection System; Object Detection System,"Statistics, Linear Algebra",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",BSc,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Statistics, Linear Algebra",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BTech,Machine Learning Engineer,House Price Prediction; Recommendation System,"Statistics, Linear Algebra",Medium
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",BTech,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Statistics, Linear Algebra",High
"Python, TensorFlow, Keras, NumPy, Pandas",MSc,AI Engineer,AI Chatbot; AI Assistant System,"Probability, Statistics",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MSc,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Linear Algebra, Probability",Medium
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",BTech,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Probability, Calculus",High
"Python, TensorFlow, NumPy, Pandas, Matplotlib",BSc,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Linear Algebra, Probability",High
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",MSc,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Linear Algebra, Calculus",Medium
"Python, OpenCV, NumPy, TensorFlow, Pandas",BSc,Autonomous Systems Engineer,Autonomous Driving System; Path Planning System,"Statistics, Linear Algebra",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",MSc,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Statistics, Linear Algebra",High
"Python, TensorFlow, Keras, NumPy, Pandas",MSc,AI Engineer,AI Chatbot; AI Assistant System,"Probability, Statistics",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MTech,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Probability, Statistics",Medium
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",MTech,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Statistics, Linear Algebra",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",BSc,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Linear Algebra, Calculus",Medium
"Python, TensorFlow, Keras, NumPy, Matplotlib",BTech,Reinforcement Learning Engineer,Game Playing Agent; Self Driving Simulation,"Linear Algebra, Probability",High
"Python, TensorFlow, Keras, Pandas, NumPy",BSc,MLOps Engineer,Model Deployment Pipeline; CI/CD ML System,"Probability, Calculus",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BTech,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Linear Algebra, Calculus",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",BSc,Reinforcement Learning Engineer,Game Playing Agent; Self Driving Simulation,"Probability, Calculus",Medium
"Python, TensorFlow, Keras, Pandas, NumPy",MSc,MLOps Engineer,Model Deployment Pipeline; CI/CD ML System,"Linear Algebra, Probability",Medium
"Python, TensorFlow, Keras, NumPy, Matplotlib",BTech,Reinforcement Learning Engineer,Game Playing Agent; Self Driving Simulation,"Linear Algebra, Calculus",High
"Python, TensorFlow, NumPy, Pandas, Matplotlib",BTech,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Linear Algebra, Probability",High
"Python, PyTorch, Transformers, SpaCy, NLTK",BTech,NLP Engineer,Chatbot System; Text Summarization Tool,"Probability, Calculus",Medium
"Python, TensorFlow, Keras, NumPy, Pandas",BTech,AI Engineer,AI Chatbot; AI Assistant System,"Probability, Calculus",Medium
"Python, TensorFlow, NumPy, Pandas, Matplotlib",BTech,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Linear Algebra, Calculus",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",BSc,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Probability, Calculus",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",BSc,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Probability, Calculus",High
"Python, PyTorch, Transformers, NumPy, Pandas",MSc,Generative AI Engineer,AI Text Generator; Text to Image System,"Linear Algebra, Probability",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",BTech,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Linear Algebra, Calculus",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MTech,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Statistics, Linear Algebra",Medium
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",MSc,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Linear Algebra, Calculus",Medium
"Python, Transformers, PyTorch, NumPy, Pandas",MSc,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Probability, Statistics",High
"Python, Transformers, PyTorch, NumPy, Pandas",MSc,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Statistics, Linear Algebra",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MSc,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Statistics, Linear Algebra",High
"Python, Transformers, PyTorch, NumPy, Pandas",BTech,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Linear Algebra, Probability",Medium
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",MTech,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Linear Algebra, Probability",High
"Python, TensorFlow, Keras, NumPy, Pandas",MTech,AI Engineer,AI Chatbot; AI Assistant System,"Probability, Calculus",Medium
"Python, OpenCV, NumPy, TensorFlow, Pandas",BTech,Autonomous Systems Engineer,Autonomous Driving System; Path Planning System,"Linear Algebra, Calculus",High
"Python, OpenCV, NumPy, TensorFlow, Pandas",BTech,Autonomous Systems Engineer,Autonomous Driving System; Path Planning System,"Linear Algebra, Probability",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BTech,Machine Learning Engineer,House Price Prediction; Recommendation System,"Linear Algebra, Probability",High
"Python, TensorFlow, Keras, NumPy, Pandas",MTech,AI Engineer,AI Chatbot; AI Assistant System,"Statistics, Linear Algebra",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MSc,Machine Learning Engineer,House Price Prediction; Recommendation System,"Linear Algebra, Calculus",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MSc,Machine Learning Engineer,House Price Prediction; Recommendation System,"Probability, Statistics",Medium
"Python, OpenCV, NumPy, TensorFlow, Pandas",BTech,Autonomous Systems Engineer,Autonomous Driving System; Path Planning System,"Probability, Calculus",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",MTech,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Probability, Calculus",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MSc,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Probability, Statistics",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",MTech,AI Research Engineer,Research Paper Implementation; Model Experimentation,"Linear Algebra, Calculus",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",MTech,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Linear Algebra, Probability",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BTech,Machine Learning Engineer,House Price Prediction; Recommendation System,"Linear Algebra, Calculus",High
"Python, TensorFlow, NumPy, Pandas, Matplotlib",BSc,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Probability, Calculus",Medium
"Python, PyTorch, Transformers, NumPy, Pandas",BTech,Generative AI Engineer,AI Text Generator; Text to Image System,"Statistics, Linear Algebra",Medium
"Python, PyTorch, Transformers, SpaCy, NLTK",BSc,NLP Engineer,Chatbot System; Text Summarization Tool,"Probability, Statistics",Medium
"Python, TensorFlow, Keras, NumPy, Pandas",MSc,AI Engineer,AI Chatbot; AI Assistant System,"Statistics, Linear Algebra",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BSc,Machine Learning Engineer,House Price Prediction; Recommendation System,"Linear Algebra, Calculus",High
"Python, TensorFlow, Keras, NumPy, Pandas",MTech,AI Engineer,AI Chatbot; AI Assistant System,"Linear Algebra, Probability",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BTech,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Linear Algebra, Calculus",Medium
"Python, Transformers, PyTorch, NumPy, Pandas",MTech,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Probability, Calculus",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",MTech,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Probability, Calculus",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BTech,Machine Learning Engineer,House Price Prediction; Recommendation System,"Probability, Statistics",Medium
"Python, Transformers, PyTorch, NumPy, Pandas",MSc,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Statistics, Linear Algebra",Medium
"Python, PyTorch, Transformers, NumPy, Pandas",BTech,Generative AI Engineer,AI Text Generator; Text to Image System,"Statistics, Linear Algebra",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",BTech,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Statistics, Linear Algebra",Medium
"Python, TensorFlow, Keras, NumPy, Pandas",BSc,AI Engineer,AI Chatbot; AI Assistant System,"Statistics, Linear Algebra",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",BTech,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Probability, Calculus",High
"Python, OpenCV, TensorFlow, Keras, NumPy",BTech,Computer Vision Engineer,Face Detection System; Object Detection System,"Linear Algebra, Probability",Medium
"Python, Transformers, PyTorch, NumPy, Pandas",MTech,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Linear Algebra, Probability",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MSc,Machine Learning Engineer,House Price Prediction; Recommendation System,"Probability, Calculus",Medium
"Python, TensorFlow, Keras, NumPy, Matplotlib",BTech,Reinforcement Learning Engineer,Game Playing Agent; Self Driving Simulation,"Linear Algebra, Probability",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",BSc,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Probability, Statistics",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",MTech,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Probability, Calculus",High
"Python, PyTorch, Transformers, SpaCy, NLTK",MTech,NLP Engineer,Chatbot System; Text Summarization Tool,"Linear Algebra, Probability",Medium
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",BTech,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Statistics, Linear Algebra",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MSc,Machine Learning Engineer,House Price Prediction; Recommendation System,"Statistics, Linear Algebra",Medium
"Python, TensorFlow, NumPy, Pandas, Matplotlib",BTech,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Linear Algebra, Probability",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BTech,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Probability, Statistics",High
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",MTech,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Linear Algebra, Calculus",Medium
"Python, PyTorch, Transformers, NumPy, Pandas",MTech,Generative AI Engineer,AI Text Generator; Text to Image System,"Linear Algebra, Calculus",Medium
"Python, TensorFlow, Keras, NumPy, Matplotlib",BSc,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Probability, Calculus",Medium
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",BSc,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Probability, Statistics",Medium
"Python, TensorFlow, Keras, Pandas, NumPy",MSc,MLOps Engineer,Model Deployment Pipeline; CI/CD ML System,"Statistics, Linear Algebra",Medium
"Python, PyTorch, Transformers, SpaCy, NLTK",MSc,NLP Engineer,Chatbot System; Text Summarization Tool,"Probability, Calculus",Medium
"Python, PyTorch, Transformers, NumPy, Pandas",BSc,Generative AI Engineer,AI Text Generator; Text to Image System,"Linear Algebra, Calculus",High
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",BTech,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Probability, Statistics",High
"Python, TensorFlow, NumPy, Pandas, Matplotlib",MTech,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Probability, Statistics",High
"Python, TensorFlow, Keras, NumPy, Pandas",MSc,AI Engineer,AI Chatbot; AI Assistant System,"Linear Algebra, Calculus",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",BTech,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Probability, Statistics",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",BSc,AI Research Engineer,Research Paper Implementation; Model Experimentation,"Probability, Statistics",Medium
"Python, TensorFlow, NumPy, Pandas, Matplotlib",BSc,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Linear Algebra, Calculus",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",MSc,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Linear Algebra, Calculus",Medium
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",MTech,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Linear Algebra, Calculus",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MSc,Machine Learning Engineer,House Price Prediction; Recommendation System,"Probability, Statistics",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BTech,Machine Learning Engineer,House Price Prediction; Recommendation System,"Linear Algebra, Calculus",Medium
"Python, PyTorch, Transformers, SpaCy, NLTK",BSc,NLP Engineer,Chatbot System; Text Summarization Tool,"Linear Algebra, Calculus",High
"Python, TensorFlow, Keras, Pandas, NumPy",MSc,MLOps Engineer,Model Deployment Pipeline; CI/CD ML System,"Probability, Statistics",Medium
"Python, OpenCV, TensorFlow, Keras, NumPy",BSc,Computer Vision Engineer,Face Detection System; Object Detection System,"Statistics, Linear Algebra",High
"Python, PyTorch, Transformers, SpaCy, NLTK",MTech,NLP Engineer,Chatbot System; Text Summarization Tool,"Linear Algebra, Probability",Medium
"Python, OpenCV, TensorFlow, Keras, NumPy",BSc,Computer Vision Engineer,Face Detection System; Object Detection System,"Linear Algebra, Probability",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MTech,Machine Learning Engineer,House Price Prediction; Recommendation System,"Linear Algebra, Calculus",High
"Python, PyTorch, Transformers, SpaCy, NLTK",MSc,NLP Engineer,Chatbot System; Text Summarization Tool,"Probability, Calculus",High
"Python, TensorFlow, Keras, Pandas, NumPy",BSc,MLOps Engineer,Model Deployment Pipeline; CI/CD ML System,"Probability, Statistics",High
"Python, OpenCV, NumPy, TensorFlow, Pandas",MTech,Autonomous Systems Engineer,Autonomous Driving System; Path Planning System,"Probability, Calculus",Medium
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BSc,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Linear Algebra, Probability",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",MTech,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Probability, Calculus",Medium
