skills,education,job_recommendation,projects,math_knowledge,industry_demand
"After Effects, Substance Painter, Nuke, ZBrush, Blender",BTech,Motion Graphics Designer,Animated Title Sequence,Matrix Algebra,Medium
"TVPaint, Premiere Pro, Nuke, After Effects, DaVinci Resolve",BSc,Game Animator,3D Character Animation,Linear Algebra,High
"Blender, Maya, Unreal Engine, Illustrator, DaVinci Resolve",MTech,VFX Artist,Game Character Animation,Matrix Algebra,Medium
"Premiere Pro, Substance Painter, V-Ray, TVPaint, Houdini",BTech,Interaction Designer,Game Character Animation,Matrix Algebra,Medium
"ZBrush, Unreal Engine, Toon Boom Harmony, Blender, DaVinci Resolve",MTech,Motion Graphics Designer,3D Character Animation,Matrix Algebra,High
"Octane, ZBrush, Redshift, Substance Designer, Unity",BTech,Animation Director,UI Animation Prototype,Trigonometry,High
"Unity, Unreal Engine, Blender, Figma, After Effects",BTech,3D Animator,Product Animation,Trigonometry,High
"After Effects, ZBrush, Nuke, Photoshop, Houdini",BTech,Motion Branding Designer,UI Animation Prototype,Calculus,High
"Octane, Blender, Nuke, V-Ray, Figma",MTech,Storyboard Artist,3D Environment Render,Geometry,Medium
"Unity, After Effects, Maya, Substance Painter, Unreal Engine",MTech,VFX Artist,VFX Short Scene,Geometry,Medium
"After Effects, Premiere Pro, Houdini, Redshift, Illustrator",BSc,Motion Graphics Designer,Animated Title Sequence,Calculus,High
"Substance Painter, Houdini, ZBrush, V-Ray, Arnold",MTech,Compositing Artist,3D Environment Render,Matrix Algebra,High
"Redshift, Blender, Substance Designer, Photoshop, Arnold",BTech,Layout Artist (Animation),UI Animation Prototype,Trigonometry,High
"Unity, Premiere Pro, Maya, Nuke, Unreal Engine",MTech,CG Artist,3D Character Animation,Calculus,High
"TVPaint, ZBrush, After Effects, Nuke, DaVinci Resolve",MTech,Interaction Designer,Animated Title Sequence,Linear Algebra,Medium
"Cinema 4D, Nuke, After Effects, Premiere Pro, Unreal Engine",BTech,VFX Artist,3D Environment Render,Calculus,High
"Photoshop, Nuke, TVPaint, Toon Boom Harmony, Substance Painter",BSc,UI Motion Designer,UI Animation Prototype,Matrix Algebra,High
"Maya, Cinema 4D, Redshift, Toon Boom Harmony, TVPaint",BTech,Interaction Designer,UI Animation Prototype,Geometry,High
"ZBrush, Toon Boom Harmony, Octane, Substance Designer, V-Ray",MTech,Storyboard Artist,VFX Short Scene,Matrix Algebra,High
"Blender, Houdini, TVPaint, Premiere Pro, Substance Painter",BTech,VFX Artist,Product Animation,Matrix Algebra,Medium
"TVPaint, DaVinci Resolve, Unreal Engine, Substance Painter, Figma",BSc,Motion Graphics Designer,Short Animated Film,Calculus,Medium
"Toon Boom Harmony, Arnold, Substance Designer, DaVinci Resolve, Blender",BTech,3D Motion Designer,Logo Motion Animation,Linear Algebra,Medium
"Houdini, Redshift, Cinema 4D, Substance Designer, After Effects",BTech,Rendering Artist,Logo Motion Animation,Matrix Algebra,High
"TVPaint, Arnold, Substance Painter, Illustrator, Houdini",BSc,VFX Artist,3D Environment Render,Trigonometry,Medium
"Illustrator, Unreal Engine, Premiere Pro, After Effects, Arnold",BTech,Layout Artist (Animation),Product Animation,Matrix Algebra,High
"ZBrush, TVPaint, Blender, Unity, Maya",BSc,3D Motion Designer,Animated Title Sequence,Geometry,High
"Houdini, Unity, TVPaint, Unreal Engine, Illustrator",BTech,Layout Artist (Animation),UI Animation Prototype,Matrix Algebra,High
"Toon Boom Harmony, Substance Painter, Photoshop, Octane, Cinema 4D",BSc,Compositing Artist,Motion Graphics Ad,Calculus,High
"Blender, Maya, Nuke, Premiere Pro, V-Ray",BSc,2D Animator,Short Animated Film,Calculus,Medium
"Arnold, Substance Painter, V-Ray, Octane, Substance Designer",BTech,UI Motion Designer,3D Environment Render,Trigonometry,Medium
"Photoshop, Substance Designer, Houdini, Illustrator, V-Ray",MTech,3D Motion Designer,Product Animation,Trigonometry,Medium
"Arnold, DaVinci Resolve, Premiere Pro, TVPaint, Maya",BTech,Lighting Artist (Animation),Logo Motion Animation,Matrix Algebra,Medium
"ZBrush, Maya, Photoshop, V-Ray, After Effects",BTech,Motion Designer,Motion Graphics Ad,Linear Algebra,High
"Maya, Cinema 4D, Illustrator, TVPaint, ZBrush",BTech,Interaction Designer,UI Animation Prototype,Trigonometry,Medium
"Houdini, Redshift, Arnold, Unity, Blender",BSc,Game Animator,Logo Motion Animation,Linear Algebra,Medium
"Maya, Unreal Engine, Blender, Photoshop, DaVinci Resolve",MTech,3D Animator,Short Animated Film,Trigonometry,High
"Blender, Houdini, Arnold, Unity, Figma",BTech,Motion Designer,Motion Graphics Ad,Trigonometry,Medium
"TVPaint, V-Ray, Premiere Pro, Blender, Figma",MTech,Lighting Artist (Animation),Logo Motion Animation,Linear Algebra,High
"Toon Boom Harmony, Substance Painter, Redshift, Premiere Pro, Maya",MTech,Motion Graphics Designer,Game Character Animation,Trigonometry,Medium
"Maya, After Effects, Unity, Toon Boom Harmony, TVPaint",BTech,3D Motion Designer,UI Animation Prototype,Matrix Algebra,High
"Cinema 4D, ZBrush, Photoshop, Arnold, Substance Designer",BSc,Character Animator,Short Animated Film,Trigonometry,Medium
"Redshift, Figma, ZBrush, Blender, Maya",BSc,Motion Graphics Designer,Motion Graphics Ad,Trigonometry,High
"Arnold, V-Ray, TVPaint, Unreal Engine, Houdini",MTech,3D Motion Designer,Animated Title Sequence,Geometry,High
"Substance Designer, Redshift, Houdini, Substance Painter, DaVinci Resolve",BSc,VFX Artist,Game Character Animation,Linear Algebra,Medium
"Arnold, Redshift, Substance Painter, ZBrush, Toon Boom Harmony",MTech,Game Animator,3D Character Animation,Linear Algebra,Medium
"Photoshop, Figma, Premiere Pro, After Effects, Unreal Engine",BTech,Motion Branding Designer,3D Character Animation,Trigonometry,High
"DaVinci Resolve, TVPaint, Illustrator, Figma, Photoshop",MTech,Storyboard Artist,Product Animation,Matrix Algebra,Medium
"V-Ray, Blender, Redshift, Photoshop, Toon Boom Harmony",MTech,VFX Artist,Animated Title Sequence,Geometry,High
"Arnold, Blender, V-Ray, Nuke, Photoshop",MTech,2D Animator,3D Environment Render,Matrix Algebra,Medium
"Toon Boom Harmony, Substance Designer, V-Ray, TVPaint, Arnold",MTech,3D Animator,VFX Short Scene,Matrix Algebra,Medium
"Arnold, Premiere Pro, Figma, Blender, Unreal Engine",BSc,2D Animator,Product Animation,Linear Algebra,High
"Illustrator, ZBrush, Cinema 4D, Houdini, Toon Boom Harmony",BTech,Rendering Artist,Product Animation,Geometry,Medium
"Illustrator, Redshift, Houdini, Photoshop, Substance Designer",BTech,2D Animator,3D Environment Render,Trigonometry,Medium
"V-Ray, DaVinci Resolve, ZBrush, Redshift, Illustrator",BSc,Motion Branding Designer,Product Animation,Matrix Algebra,Medium
"Maya, Cinema 4D, Unreal Engine, ZBrush, V-Ray",BTech,UI Motion Designer,Animated Title Sequence,Calculus,High
"V-Ray, Octane, Maya, Houdini, Unity",BTech,Motion Designer,3D Character Animation,Geometry,High
"After Effects, Houdini, Nuke, Illustrator, Redshift",BSc,Lighting Artist (Animation),VFX Short Scene,Linear Algebra,Medium
"Maya, Blender, Cinema 4D, After Effects, TVPaint",BSc,3D Animator,3D Environment Render,Trigonometry,Medium
"DaVinci Resolve, After Effects, Redshift, Premiere Pro, Nuke",BTech,Storyboard Artist,Game Character Animation,Calculus,High
"Premiere Pro, Maya, Illustrator, Photoshop, DaVinci Resolve",BTech,Interaction Designer,UI Animation Prototype,Trigonometry,High
"DaVinci Resolve, Unreal Engine, Unity, ZBrush, Blender",BTech,Animation Director,Product Animation,Linear Algebra,Medium
"Photoshop, Maya, Octane, Nuke, Arnold",MTech,Lighting Artist (Animation),Motion Graphics Ad,Linear Algebra,High
"Illustrator, DaVinci Resolve, Octane, Arnold, Premiere Pro",BSc,2D Animator,Product Animation,Matrix Algebra,High
"After Effects, TVPaint, Redshift, DaVinci Resolve, Substance Designer",MTech,3D Animator,Motion Graphics Ad,Linear Algebra,Medium
"Arnold, Unity, Nuke, Illustrator, Redshift",MTech,Rendering Artist,3D Environment Render,Linear Algebra,Medium
"Premiere Pro, Toon Boom Harmony, Photoshop, Octane, Nuke",MTech,Graphics Animator,UI Animation Prototype,Matrix Algebra,High
"Blender, Octane, Illustrator, Houdini, Figma",BSc,3D Animator,Game Character Animation,Linear Algebra,Medium
"Illustrator, Cinema 4D, Octane, Houdini, TVPaint",BTech,Motion Branding Designer,Motion Graphics Ad,Calculus,High
"Substance Designer, Photoshop, Arnold, Toon Boom Harmony, Unreal Engine",BTech,Lighting Artist (Animation),UI Animation Prototype,Calculus,High
"Arnold, Substance Painter, Premiere Pro, Unreal Engine, Toon Boom Harmony",MTech,Interaction Designer,3D Environment Render,Calculus,High
"Unity, Cinema 4D, Nuke, ZBrush, DaVinci Resolve",BSc,Game Animator,Short Animated Film,Trigonometry,High
"Cinema 4D, Toon Boom Harmony, Blender, ZBrush, Arnold",BSc,Graphics Animator,Product Animation,Calculus,Medium
"Figma, Photoshop, Substance Painter, Octane, Arnold",MTech,Character Animator,UI Animation Prototype,Trigonometry,High
"Octane, Photoshop, Toon Boom Harmony, Substance Designer, Cinema 4D",BTech,Game Animator,Product Animation,Geometry,High
"Redshift, Houdini, V-Ray, After Effects, Nuke",MTech,Graphics Animator,3D Environment Render,Linear Algebra,Medium
"Redshift, Unity, Houdini, Illustrator, Unreal Engine",BTech,Interaction Designer,VFX Short Scene,Trigonometry,High
"ZBrush, Photoshop, Octane, Figma, After Effects",BTech,3D Animator,UI Animation Prototype,Geometry,High
"Unreal Engine, Blender, Photoshop, Houdini, DaVinci Resolve",BTech,Compositing Artist,VFX Short Scene,Calculus,High
"DaVinci Resolve, Unreal Engine, Photoshop, Figma, Octane",MTech,Layout Artist (Animation),Product Animation,Calculus,Medium
"After Effects, Houdini, Toon Boom Harmony, Cinema 4D, Unity",BSc,CG Artist,UI Animation Prototype,Calculus,Medium
"DaVinci Resolve, Redshift, Nuke, Houdini, Photoshop",BTech,Character Animator,3D Environment Render,Trigonometry,High
"Illustrator, Maya, Unreal Engine, Substance Designer, ZBrush",BTech,Interaction Designer,3D Character Animation,Linear Algebra,High
"Maya, Houdini, Octane, Substance Painter, Nuke",MTech,Rendering Artist,Game Character Animation,Calculus,Medium
"ZBrush, Unreal Engine, Nuke, TVPaint, Houdini",MTech,Compositing Artist,UI Animation Prototype,Linear Algebra,High
"Photoshop, After Effects, Arnold, Octane, Unity",BSc,Motion Branding Designer,Game Character Animation,Linear Algebra,Medium
"Substance Painter, Substance Designer, Illustrator, Nuke, Arnold",MTech,Motion Designer,Animated Title Sequence,Trigonometry,Medium
"Photoshop, Toon Boom Harmony, Substance Painter, Illustrator, Maya",BSc,Lighting Artist (Animation),Short Animated Film,Linear Algebra,High
"Houdini, Unreal Engine, Substance Painter, ZBrush, Nuke",MTech,Motion Designer,Game Character Animation,Geometry,Medium
"Premiere Pro, Maya, Arnold, Unity, TVPaint",BTech,2D Animator,Motion Graphics Ad,Geometry,Medium
"Figma, After Effects, Toon Boom Harmony, Redshift, Substance Painter",BSc,2D Animator,Short Animated Film,Trigonometry,Medium
"Photoshop, TVPaint, V-Ray, Houdini, Substance Designer",BSc,2D Animator,Animated Title Sequence,Matrix Algebra,High
"Cinema 4D, Nuke, Toon Boom Harmony, Photoshop, Substance Designer",BTech,Graphics Animator,3D Character Animation,Calculus,High
"Photoshop, ZBrush, Toon Boom Harmony, Unity, Maya",BTech,3D Motion Designer,Product Animation,Linear Algebra,Medium
"After Effects, Redshift, DaVinci Resolve, Substance Painter, ZBrush",BTech,Compositing Artist,Motion Graphics Ad,Geometry,Medium
"Illustrator, ZBrush, Redshift, Premiere Pro, Figma",MTech,2D Animator,Short Animated Film,Linear Algebra,High
"Blender, ZBrush, TVPaint, Arnold, Maya",BSc,3D Motion Designer,Animated Title Sequence,Linear Algebra,High
"Octane, Unreal Engine, TVPaint, Redshift, Blender",BTech,Layout Artist (Animation),Motion Graphics Ad,Trigonometry,High
"DaVinci Resolve, Houdini, Maya, Premiere Pro, Cinema 4D",BSc,2D Animator,Short Animated Film,Calculus,High
"DaVinci Resolve, Premiere Pro, Substance Painter, Unity, Arnold",BTech,Layout Artist (Animation),Product Animation,Geometry,High
"Arnold, Octane, Nuke, Illustrator, Unreal Engine",BTech,Character Animator,3D Character Animation,Trigonometry,Medium
"Photoshop, Blender, After Effects, Substance Painter, Arnold",BSc,Motion Branding Designer,Motion Graphics Ad,Linear Algebra,Medium
"Houdini, Toon Boom Harmony, Nuke, Octane, Unity",BSc,Graphics Animator,Animated Title Sequence,Linear Algebra,Medium
"Houdini, Maya, Unity, Arnold, Unreal Engine",BSc,Graphics Animator,3D Environment Render,Geometry,High
"After Effects, Nuke, Unreal Engine, Maya, Unity",MTech,UI Motion Designer,3D Character Animation,Linear Algebra,High
"Substance Designer, TVPaint, Cinema 4D, Nuke, Houdini",BTech,CG Artist,3D Character Animation,Calculus,Medium
"DaVinci Resolve, Nuke, Figma, Unreal Engine, Arnold",MTech,Compositing Artist,3D Character Animation,Geometry,High
"Arnold, Houdini, ZBrush, Cinema 4D, Blender",BTech,Game Animator,3D Character Animation,Geometry,Medium
"Octane, Nuke, Maya, V-Ray, Unreal Engine",MTech,Graphics Animator,Game Character Animation,Trigonometry,Medium
"Figma, Houdini, TVPaint, Octane, Redshift",BSc,Storyboard Artist,3D Environment Render,Linear Algebra,Medium
"Houdini, Nuke, Toon Boom Harmony, After Effects, Illustrator",BTech,Compositing Artist,Animated Title Sequence,Linear Algebra,High
"Blender, DaVinci Resolve, Houdini, ZBrush, Illustrator",BSc,Broadcast Motion Designer,Animated Title Sequence,Geometry,Medium
"Unreal Engine, Figma, Houdini, Photoshop, TVPaint",BSc,Storyboard Artist,Motion Graphics Ad,Trigonometry,High
"Substance Designer, Unity, Octane, V-Ray, Figma",MTech,Motion Branding Designer,Short Animated Film,Geometry,Medium
"Substance Painter, TVPaint, Octane, V-Ray, Unreal Engine",BTech,Graphics Animator,3D Environment Render,Calculus,High
"Substance Designer, After Effects, Premiere Pro, TVPaint, Toon Boom Harmony",MTech,VFX Artist,VFX Short Scene,Geometry,Medium
"Premiere Pro, Maya, Nuke, TVPaint, Octane",BSc,Interaction Designer,3D Environment Render,Geometry,Medium
"Octane, Premiere Pro, Arnold, Figma, Toon Boom Harmony",BSc,UI Motion Designer,3D Environment Render,Trigonometry,High
"After Effects, Houdini, Premiere Pro, Nuke, Unity",BTech,Graphics Animator,Game Character Animation,Calculus,High
"Illustrator, Redshift, V-Ray, DaVinci Resolve, Figma",BSc,Motion Branding Designer,Motion Graphics Ad,Trigonometry,High
"Substance Designer, Octane, ZBrush, DaVinci Resolve, Blender",BTech,2D Animator,Game Character Animation,Trigonometry,Medium
"Figma, Redshift, Blender, Arnold, Substance Designer",BSc,Rendering Artist,Animated Title Sequence,Calculus,Medium
"Blender, Houdini, TVPaint, Toon Boom Harmony, Nuke",BSc,Interaction Designer,3D Character Animation,Trigonometry,Medium
"Unity, Nuke, Octane, Blender, Photoshop",BTech,Graphics Animator,3D Character Animation,Calculus,Medium
